dataset,model,method,lambda_,shap_type,group,feature,mean_abs_shap,normalised_share,is_sensitive,is_proxy,sample_n,random_state
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,EnvironmentSatisfaction,0.11408081105492024,0.04007926583732789,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,HourlyRate,0.047315507051051725,0.016623047888519326,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,JobInvolvement,0.043647690180665666,0.015334457756388612,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,JobLevel,0.02113102639263307,0.007423825412656071,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,JobRole,0.19954472835283749,0.07010474540052651,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,JobSatisfaction,0.09704139295339509,0.03409291842719568,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,MaritalStatus,0.049960295262454754,0.01755222404731454,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,MonthlyIncome,0.15630706309842918,0.05491433902199397,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,MonthlyRate,0.03942398212080602,0.013850570005372504,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,NumCompaniesWorked,0.22974155828932039,0.08071360032781343,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,Over18,0.0,0.0,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,OverTime,0.4651660554561723,0.16342375043383822,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,PercentSalaryHike,0.01888851893510352,0.006635979922240962,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,PerformanceRating,0.0,0.0,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,RelationshipSatisfaction,0.13753102114768245,0.048317874903637384,False,False,116,42
