dataset,accuracy_metric,fairness_metric,base_model,method,lambda_,seed_mean_accuracy,seed_mean_fairness,on_pareto_frontier
acs_income,accuracy,macro_eodds,RF,smote_nc,0.05,0.8126670584928322,0.3518165514824938,True
acs_income,accuracy,macro_eodds,RF,smote_nc,0.1,0.8126670584928322,0.3518165514824938,True
acs_income,accuracy,macro_eodds,RF,smote_nc,0.3,0.8126670584928322,0.3518165514824938,True
acs_income,accuracy,macro_eodds,RF,smote_nc,1.0,0.8126670584928322,0.3518165514824938,True
acs_income,accuracy,macro_eodds,RF,smote_nc,3.0,0.8126670584928322,0.3518165514824938,True
acs_income,accuracy,macro_eodds,RF,smote_nc,10.0,0.8126670584928322,0.3518165514824938,True
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,adv_debias,0.0,0.8431972789115646,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,adv_debias,0.05,0.8437074829931973,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,adv_debias,0.1,0.8452380952380952,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,adv_debias,0.3,0.8448979591836734,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,adv_debias,1.0,0.8460884353741497,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,adv_debias,3.0,0.8488095238095237,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,adv_debias,10.0,0.8517006802721088,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,calib_eqodds,0.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,calib_eqodds,0.05,0.8552721088435373,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,calib_eqodds,0.1,0.8552721088435373,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,calib_eqodds,0.3,0.8552721088435373,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,calib_eqodds,1.0,0.8552721088435373,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,calib_eqodds,3.0,0.8551020408163265,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,calib_eqodds,10.0,0.8551020408163265,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,di_remover,0.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,di_remover,0.05,0.8673469387755102,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,di_remover,0.1,0.8666666666666666,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,di_remover,0.3,0.8644557823129251,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,di_remover,1.0,0.8583333333333332,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,di_remover,3.0,0.8583333333333332,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,di_remover,10.0,0.8583333333333332,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,eqodds_postproc,0.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,eqodds_postproc,0.05,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,eqodds_postproc,0.1,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,eqodds_postproc,0.3,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,eqodds_postproc,1.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,eqodds_postproc,3.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,eqodds_postproc,10.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,exp_gradient,0.0,0.8605442176870748,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,exp_gradient,0.05,0.8673469387755102,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,exp_gradient,0.1,0.8605442176870748,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,exp_gradient,0.3,0.8581632653061224,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,exp_gradient,1.0,0.857312925170068,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,exp_gradient,3.0,0.8581632653061224,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,exp_gradient,10.0,0.8613945578231291,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,gerryfair,0.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,gerryfair,0.05,0.8605442176870748,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,gerryfair,0.1,0.8605442176870748,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,gerryfair,0.3,0.8605442176870748,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,gerryfair,1.0,0.8605442176870748,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,gerryfair,3.0,0.8605442176870748,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,gerryfair,10.0,0.8605442176870748,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,lfr,0.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,lfr,0.05,0.706997084548105,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,lfr,0.1,0.6661807580174928,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,lfr,0.3,0.5980725623582767,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,lfr,1.0,0.6509353741496599,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,lfr,3.0,0.641156462585034,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,optim_preproc,0.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,prejudice_remover,0.0,0.8877551020408163,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,prejudice_remover,0.05,0.8877551020408163,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,prejudice_remover,0.1,0.8877551020408163,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,prejudice_remover,0.3,0.8877551020408163,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,prejudice_remover,1.0,0.8877551020408163,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,prejudice_remover,3.0,0.8877551020408163,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,prejudice_remover,10.0,0.8843537414965986,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reject_option,0.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reject_option,0.05,0.846938775510204,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reject_option,0.1,0.846938775510204,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reject_option,0.3,0.846938775510204,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reject_option,1.0,0.846938775510204,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reject_option,3.0,0.846938775510204,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reject_option,10.0,0.846938775510204,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reweighing,0.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reweighing,0.05,0.8639455782312926,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reweighing,0.1,0.8639455782312926,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reweighing,0.3,0.8639455782312926,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reweighing,1.0,0.8639455782312926,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reweighing,3.0,0.8639455782312926,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,reweighing,10.0,0.8639455782312926,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,smote_nc,0.0,0.8549319727891156,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,smote_nc,0.05,0.8651360544217687,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,smote_nc,0.1,0.8651360544217687,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,smote_nc,0.3,0.8651360544217687,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,smote_nc,1.0,0.8651360544217687,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,smote_nc,3.0,0.8651360544217687,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,GB,smote_nc,10.0,0.8651360544217687,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,adv_debias,0.0,0.8431972789115646,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,adv_debias,0.05,0.8437074829931973,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,adv_debias,0.1,0.8452380952380952,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,adv_debias,0.3,0.8448979591836734,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,adv_debias,1.0,0.8460884353741497,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,adv_debias,3.0,0.8488095238095237,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,adv_debias,10.0,0.8517006802721088,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,calib_eqodds,0.0,0.8333333333333334,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,calib_eqodds,0.05,0.8348639455782314,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,calib_eqodds,0.1,0.8348639455782314,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,calib_eqodds,0.3,0.8348639455782314,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,calib_eqodds,1.0,0.8348639455782314,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,calib_eqodds,3.0,0.8353741496598641,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,calib_eqodds,10.0,0.8353741496598641,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,di_remover,0.0,0.8333333333333334,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,di_remover,0.05,0.8333333333333334,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,di_remover,0.1,0.8333333333333334,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,di_remover,0.3,0.8333333333333334,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,di_remover,1.0,0.8333333333333334,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,di_remover,3.0,0.8333333333333334,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,di_remover,10.0,0.8333333333333334,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,eqodds_postproc,0.0,0.8333333333333334,,False
ibm_hr_attrition,accuracy,counterfactual_fairness,KNN,eqodds_postproc,0.05,0.8377551020408165,,False
